ID,字段1,字段2,discount,price,privilege.for.new,privilege.on.sale,district,if.nonworkdays.available,time.duration,if.appointment.needed,WiFi.available,parking,rooms.available,评分,评论数,online.intervel,quarterly.sales.volume,level.of.participants.limited,level.of.tickets.limited,place,food,taste,cook,people,style,HighFreq
1860,六子居,仅售308元，价值368元4人餐！节假日通用，免费WiFi、停车位！,0.836956522,308,钱包新客最高再减20元,无立减优惠,莲湖区,周末法定节假日通用,4,无需预约,免费WiFi,免费停车位,均可使用,0,0,310,0.290322581,限2-4人,不限张数,否,否,否,否,否,其他,0
1862,张三疯老北京涮羊肉(凤城四路店),仅售35元，价值50元凤城五路店代金券！精选食材，肉质鲜嫩，绿色健康！地道的调料，纯粹的老北京口味！装潢典雅，服务周到！节假日通用！提供免费WiFi！,0.7,35,钱包新客最高再减20元,无立减优惠,未央区,非周末法定节假日通用,11.5,无需预约,未提及,未提及,未提及,0,0,758,0.118733509,不限人数,限制张数,是,是,否,是,否,北系,3
1863,延安串串,仅售42.5元，价值50元代金券！,0.85,42.5,钱包新客最高再减20元,无立减优惠,碑林区,周末法定节假日通用,9,无需预约,未提及,未提及,仅限大厅使用,4.7,3,148,3.040540541,不限人数,限制张数,否,否,否,否,否,川系,1
1864,红星街串串(航天基地富力城店),仅售90元，价值100元代金券！,0.9,90,钱包新客最高再减20元,无立减优惠,长安区,周末法定节假日通用,9,无需预约,未提及,无停车位,仅限大厅使用,0,0,160,0.5625,不限人数,不限张数,否,否,否,否,否,川系,2
1865,茗扬串串,仅售45元，价值50元代金券！,0.9,45,钱包新客最高再减20元,无立减优惠,新城区,非周末法定节假日通用,12.48333333,无需预约,未提及,未提及,仅限大厅使用,4.5,4,160,7.875,不限人数,限制张数,否,否,否,否,否,川系,1
1866,亿鑫猪肚鸡(城南店),仅售170元，价值200元代金券！免费停车，免费WiFi！,0.85,170,钱包新客最高再减20元,无立减优惠,雁塔区,非周末法定节假日通用,14,无需预约,免费WiFi,免费停车位,均可使用,0,0,223,0,不限人数,不限张数,否,是,否,否,否,粤系,2
1867,亿鑫猪肚鸡(城南店),仅售140元，价值170元代金券！免费停车，免费WiFi！,0.823529412,140,钱包新客最高再减20元,无立减优惠,雁塔区,非周末法定节假日通用,14,无需预约,免费WiFi,免费停车位,均可使用,0,0,223,0,不限人数,不限张数,否,是,否,否,否,粤系,2
1868,清真马伟小店(贡院门店),仅售11.9元，价值14元贡院门店涮菜单人餐！节假日通用！,0.85,11.9,钱包新客最高再减20元,无立减优惠,莲湖区,周末法定节假日通用,12,无需预约,未提及,未提及,仅限大厅使用,5,13,393,18.32061069,不限人数,不限张数,否,否,是,否,否,其他,1
1869,大象串串,仅售38元，价值50元代金券！,0.76,38,钱包新客最高再减20元,无立减优惠,临潼区,周末法定节假日通用,7,无需预约,未提及,未提及,仅限大厅使用,0,0,159,0.566037736,不限人数,不限张数,否,否,否,否,否,川系,2
187,豆皮涮牛肚(韦曲西街店),仅售61.9元，价值99元双人餐！免费WiFi！,0.625252525,61.9,钱包新客最高再减20元,无立减优惠,长安区,周末法定节假日通用,11,无需预约,免费WiFi,未提及,仅限大厅使用,4.5,45,165,134.1818182,不限人数,不限张数,否,是,否,是,否,其他,1
1870,爱品客串串香,仅售37元，价值50元代金券！节假日通用，店内提供免费WIFI！可叠加使用，免费WiFi！,0.74,37,钱包新客最高再减20元,无立减优惠,长安区,周末法定节假日通用,11,无需预约,免费WiFi,无停车位,仅限大厅使用,0,0,601,0.149750416,不限人数,不限张数,否,否,是,否,否,川系,2
1871,味道江湖菜馆,仅售28元，价值68元江湖土火锅1份！节假日通用，提供免费WiFi，可使用包间，免费WiFi！,0.411764706,28,钱包新客最高再减20元,无立减优惠,未央区,周末法定节假日通用,11.5,无需预约,免费WiFi,未提及,均可使用,0,0,371,0,不限人数,不限张数,否,否,否,否,否,其他,1
1872,香天下(大寨路店),仅售85元，价值100元午市代金券！免费WiFi！,0.85,85,钱包新客最高再减20元,有立减优惠,莲湖区,周末法定节假日通用,7.5,无需预约,免费WiFi,未提及,仅限大厅使用,0,0,49,0,不限人数,不限张数,否,否,是,否,否,其他,2
1873,小胖鲜肉馆,仅售84元，价值168元双人餐！菜品丰富新鲜，味道香醇，色美肉嫩！浓香外溢，回味无穷，美味等你来享用！亲友小聚好去处！,0.5,84,钱包新客最高再减20元,无立减优惠,雁塔区,非周末法定节假日通用,7.5,无需预约,未提及,未提及,未提及,0,0,803,0,限2-4人,限制张数,否,是,是,否,否,其他,1
1874,优密创业餐厅(西厦地产店),仅售73元，价值143元西厦地产店双人餐！节假日通用，提供免费WiFi，免费WiFi！,0.51048951,73,钱包新客最高再减20元,无立减优惠,雁塔区,周末法定节假日通用,12,无需预约,免费WiFi,收费停车位,仅限大厅使用,0,0,355,0,限2-4人,不限张数,否,否,否,否,否,其他,0
